L_ADD_F,L_ADD_T,R_ADD_F,R_ADD_T,ROAD_NAME,ROAD_SUF,FULL_NAME,DIR,ALIAS,LANES,SURFACE_CO,YEAR_INSTA,OWNER,LIFECYCLES,SUBTYPE
10712,10716,10713,10717,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
10800,10808,10801,10809,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
8303,8399,8302,8398,BELLS,ST,BELLS ST,,,2,CON,1994-01-01,CI,COMP,7
8101,8117,8100,8116,BELLS,ST,BELLS ST,,,2,CON,1994-01-01,CI,COMP,7
8201,8217,8200,8212,BELLS,ST,BELLS ST,,,2,CON,1994-01-01,CI,COMP,7
8301,8301,8300,8300,BELLS,ST,BELLS ST,,,2,CON,1994-01-01,CI,COMP,7
8101,8117,8100,8116,STEAMERS,LN,STEAMERS LN,,,2,CON,1994-01-01,CI,COMP,7
8201,8301,8200,8300,STEAMERS,LN,STEAMERS LN,,,2,CON,1994-01-01,CI,COMP,7
8101,8117,8100,8116,SEBASTIAN,INLT,SEBASTIAN INLT,,,2,CON,1994-01-01,CI,COMP,7
8201,8301,8200,8302,SEBASTIAN,INLT,SEBASTIAN INLT,,,2,CON,1994-01-01,CI,COMP,7
10912,10916,10913,10917,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
11000,11012,11001,11013,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
10816,10816,0,0,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
10900,10908,10901,10909,JEFFREYS,BAY,JEFFREYS BAY,,,2,CON,1994-01-01,CI,COMP,7
10812,10818,10813,10817,CANOE,RD,CANOE RD,,,2,CON,1994-01-01,CI,COMP,7
10902,10910,10903,10911,CANOE,RD,CANOE RD,,,2,CON,1994-01-01,CI,COMP,7
10914,10920,10915,10919,CANOE,RD,CANOE RD,,,2,CON,1994-01-01,CI,COMP,7
11002,11006,11003,11007,CANOE,RD,CANOE RD,,,2,CON,1994-01-01,CI,COMP,7
11012,11016,11009,11017,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1993-01-01,CI,COMP,6
8201,8281,8200,8280,HYDE PARK,DR,HYDE PARK DR,,,2,CON,1997-01-01,CI,COMP,7
8261,8281,8260,8280,WALES,DR,WALES DR,,,2,CON,1997-01-01,CI,COMP,7
8081,8181,8080,8180,HYDE PARK,DR,HYDE PARK DR,,,2,CON,1997-01-01,CI,COMP,7
8311,8391,8300,8390,TOWNE BRIDGE,DR,TOWNE BRIDGE DR,,,2,CON,2003-01-17,CI,COMP,7
9650,9762,9651,9763,BRIARDALE,DR,BRIARDALE DR,,,2,CON,2003-01-17,CI,COMP,7
9624,9720,9625,9721,WYNDBROOK,DR,WYNDBROOK DR,,,2,CON,2003-01-17,CI,COMP,7
8407,8451,8406,8452,TOWNE BRIDGE,DR,TOWNE BRIDGE DR,,,2,CON,2002-09-25,CI,COMP,7
8309,8389,8310,8390,BRIGHTSIDE,LN,BRIGHTSIDE LN,,,2,CON,2003-01-17,CI,COMP,7
8405,8493,8406,8450,BRIGHTSIDE,LN,BRIGHTSIDE LN,,,2,CON,2003-01-17,CI,COMP,7
8201,8287,8200,8286,BRIGHTSIDE,LN,BRIGHTSIDE LN,,,2,CON,2003-01-17,CI,COMP,7
8501,8599,8500,8598,TOWNE BRIDGE,DR,TOWNE BRIDGE DR,,,2,CON,2002-09-25,CI,COMP,7
0,0,0,0,TOWNE BRIDGE,DR,TOWNE BRIDGE DR,,,2,CON,2002-01-01,CI,COMP,7
8401,8499,8400,8498,KINGS RIDGE,RD,KINGS RIDGE RD,,,2,CON,1999-01-01,CI,COMP,6
8501,8699,8500,8698,KINGS RIDGE,RD,KINGS RIDGE RD,,,2,CON,2003-01-01,CI,COMP,6
10516,10610,0,0,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1994-01-01,CI,COMP,6
10614,10622,0,0,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1994-01-01,CI,COMP,6
10702,10706,10705,10709,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1994-01-01,CI,COMP,6
10714,10718,10713,10717,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1993-01-01,CI,COMP,6
10800,10812,10801,10809,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1993-01-01,CI,COMP,6
8405,8501,0,0,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
10816,10916,10817,10917,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1993-01-01,CI,COMP,6
11000,11004,11001,11005,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1993-01-01,CI,COMP,6
0,0,8400,8420,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
0,0,8502,8502,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
10704,10716,10709,10717,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
10800,10814,10801,10817,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
10900,10916,10901,10917,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
11000,11008,11001,11005,TRESTLES,RD,TRESTLES RD,,,2,CON,1993-01-01,CI,COMP,7
8417,8603,8416,8602,TIMBER CREST,CT,TIMBER CREST CT,,,2,CON,1996-01-01,CI,COMP,7
10506,10518,10501,10519,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
10502,10516,10505,10517,PINEVIEW,LN,PINEVIEW LN,,,2,CON,1996-01-01,CI,COMP,7
8615,8621,8614,8622,OAKLEAF,DR,OAKLEAF DR,,,2,CON,1996-01-01,CI,COMP,7
8703,8707,8702,8706,OAKLEAF,DR,OAKLEAF DR,,,2,CON,1996-01-01,CI,COMP,7
10600,10616,10601,10615,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
10700,10716,10701,10717,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
10600,10616,10601,10617,PINEVIEW,LN,PINEVIEW LN,,,2,CON,1996-01-01,CI,COMP,7
10700,10718,10701,10717,PINEVIEW,LN,PINEVIEW LN,,,2,CON,1996-01-01,CI,COMP,7
10802,10814,10801,10815,PINEVIEW,LN,PINEVIEW LN,,,2,CON,1996-01-01,CI,COMP,7
8711,8715,8712,8716,OAKWOOD,LN,OAKWOOD LN,,,2,CON,1996-01-01,CI,COMP,7
8801,8813,8802,8806,OAKWOOD,LN,OAKWOOD LN,,,2,CON,1996-01-01,CI,COMP,7
10600,10616,10601,10619,COPPERWOOD,DR,COPPERWOOD DR,,,2,CON,1996-01-01,CI,COMP,7
10700,10716,10701,10715,COPPERWOOD,DR,COPPERWOOD DR,,,2,CON,1996-01-01,CI,COMP,7
10802,10818,10801,10813,COPPERWOOD,DR,COPPERWOOD DR,,,2,CON,1996-01-01,CI,COMP,7
8715,8811,8716,8810,PINECREST,DR,PINECREST DR,,,2,CON,1996-01-01,CI,COMP,7
10800,10816,10801,10817,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
10902,10914,10903,10915,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
11000,11000,11001,11005,RED CEDAR,DR,RED CEDAR DR,,,2,CON,1996-01-01,CI,COMP,7
8625,8633,8624,8632,ROBERT,ST,ROBERT ST,,,2,CON,1999-01-01,CI,COMP,7
0,0,0,0,ELIZABETH,AVE,ELIZABETH AVE,,,1,CON,1999-01-01,CI,COMP,7
0,0,0,0,ELIZABETH,AVE,ELIZABETH AVE,,,2,CON,1999-01-01,CI,COMP,7
0,0,8400,8598,HILLCREST,RD,HILLCREST RD,,,2,CON,1986-01-01,CI,COMP,4
8601,8621,8600,8620,ROBERT,ST,ROBERT ST,,,2,CON,1999-01-01,CI,COMP,7
11202,11214,11203,11215,GREGORY,LN,GREGORY LN,,,2,CON,1999-01-01,CI,COMP,7
0,0,8518,8524,OLIVIA,ST,OLIVIA ST,,,2,CON,1999-01-01,CI,COMP,7
0,0,0,0,ELIZABETH,AVE,ELIZABETH AVE,,,1,CON,1999-01-01,CI,COMP,7
8501,8513,8500,8514,OLIVIA,ST,OLIVIA ST,,,2,CON,1999-01-01,CI,COMP,7
8517,8525,0,0,OLIVIA,ST,OLIVIA ST,,,2,CON,1999-01-01,CI,COMP,7
8901,8941,8900,8940,TAFT POWELL,RD,TAFT POWELL RD,,,2,HMAC,1900-01-01,CI,COMP,7
8401,8899,8400,8898,TAFT POWELL,RD,TAFT POWELL RD,,,2,CON,1999-01-01,CI,COMP,7
8419,8423,8418,8424,OLIVIA,ST,OLIVIA ST,,,2,CON,1999-01-01,CI,COMP,7
11106,11118,11107,11117,OLIVER,LN,OLIVER LN,,,2,CON,1999-01-01,CI,COMP,7
11120,11124,11119,11123,OLIVER,LN,OLIVER LN,,,2,CON,1999-01-01,CI,COMP,7
11200,11216,11201,11215,OLIVER,LN,OLIVER LN,,,2,CON,1999-01-01,CI,COMP,7
11216,11312,11215,11313,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1994-01-01,CI,COMP,7
11400,11502,11401,11503,HUNTINGTON,RD,HUNTINGTON RD,,,2,CON,1994-01-01,CI,COMP,7
8301,8349,0,0,HILLCREST,RD,HILLCREST RD,,,2,CON,1986-01-01,CI,COMP,4
8101,8299,0,0,HILLCREST,RD,HILLCREST RD,,,2,CON,1986-01-01,CI,COMP,4
0,0,0,0,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
0,0,8300,8350,HILLCREST,RD,HILLCREST RD,,,2,CON,1986-01-01,CI,COMP,4
0,0,8352,8398,HILLCREST,RD,HILLCREST RD,,,2,CON,1986-01-01,CI,COMP,4
11108,11112,11109,11113,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
8301,8399,8300,8398,GALLEY,ST,GALLEY ST,,,2,CON,1995-01-01,CI,COMP,7
11200,11212,11201,11209,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
11216,11216,11217,11217,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
11300,11312,11301,11317,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
11400,11416,11401,11413,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
11502,11502,11501,11505,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1994-01-01,CI,COMP,7
8409,8413,8408,8412,MEADOW GLADE,,MEADOW GLADE,,,2,CON,1994-01-01,CI,COMP,7
0,0,8316,8316,MEADOW GLADE,,MEADOW GLADE,,,2,CON,1994-01-01,CI,COMP,7
8401,8405,8400,8404,MEADOW GLADE,,MEADOW GLADE,,,2,CON,1994-01-01,CI,COMP,7
11508,11514,11509,11513,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
11600,11604,11601,11605,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
8317,8317,0,0,GREENFIELD,DR,GREENFIELD DR,,,2,CON,1996-01-01,CI,COMP,7
11608,11616,11609,11617,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
8401,8409,8400,8408,GREENFIELD,DR,GREENFIELD DR,,,2,CON,1996-01-01,CI,COMP,7
8413,8417,8412,8418,GREENFIELD,DR,GREENFIELD DR,,,2,CON,1998-01-01,CI,COMP,7
8501,8509,8500,8508,GREENFIELD,DR,GREENFIELD DR,,,2,CON,1998-01-01,CI,COMP,7
11608,11616,11609,11617,ROCKY POINT,DR,ROCKY POINT DR,,,2,CON,1996-01-01,CI,COMP,7
11700,11800,11701,11713,ROCKY POINT,DR,ROCKY POINT DR,,,2,CON,1996-01-01,CI,COMP,7
11604,11616,11609,11617,WOODLAND,WAY,WOODLAND WAY,,,2,CON,1998-01-01,CI,COMP,7
11702,11800,11703,11801,WOODLAND,WAY,WOODLAND WAY,,,2,CON,1998-01-01,CI,COMP,7
8501,8599,8500,8598,CLIPPER,ST,CLIPPER ST,,,2,CON,1998-01-01,CI,COMP,6
8601,8699,8600,8698,CLIPPER,ST,CLIPPER ST,,,2,CON,1998-01-01,CI,COMP,6
8401,8499,8400,8498,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
8301,8399,8300,8398,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
11702,11714,11701,11713,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
11808,11816,11809,11817,WOODLAND,WAY,WOODLAND WAY,,,2,CON,1998-01-01,CI,COMP,7
11902,12004,11901,12001,WOODLAND,WAY,WOODLAND WAY,,,2,CON,1998-01-01,CI,COMP,7
8413,8417,8412,8416,ARCADIA,DR,ARCADIA DR,,,2,CON,1998-01-01,CI,COMP,7
8501,8511,8502,8510,ARCADIA,DR,ARCADIA DR,,,2,CON,1998-01-01,CI,COMP,7
11808,11816,11805,11817,ROCKY POINT,DR,ROCKY POINT DR,,,2,CON,1996-01-01,CI,COMP,7
11900,11916,11903,11915,ROCKY POINT,DR,ROCKY POINT DR,,,2,CON,1996-01-01,CI,COMP,7
11802,11816,11801,11817,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
11902,11914,11905,12001,AMBER VALLEY,DR,AMBER VALLEY DR,,,2,CON,1996-01-01,CI,COMP,7
8313,8317,8312,8316,ARCADIA,DR,ARCADIA DR,,,2,CON,1996-01-01,CI,COMP,7
8401,8409,8400,8408,ARCADIA,DR,ARCADIA DR,,,2,CON,1996-01-01,CI,COMP,7
11216,11308,11217,11309,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
8101,8113,8100,8116,YACHT,ST,YACHT ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8208,YACHT,ST,YACHT ST,,,2,CON,1995-01-01,CI,COMP,7
8101,8117,8100,8116,GALLEY,ST,GALLEY ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8208,GALLEY,ST,GALLEY ST,,,2,CON,1995-01-01,CI,COMP,7
8101,8117,8100,8116,DOCK,ST,DOCK ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8208,DOCK,ST,DOCK ST,,,2,CON,1995-01-01,CI,COMP,7
11312,11316,11313,11317,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
11500,11508,11501,11509,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
8101,8117,8100,8116,WHARF,ST,WHARF ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8212,WHARF,ST,WHARF ST,,,2,CON,1995-01-01,CI,COMP,7
11400,11404,11401,11405,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
11410,11414,11411,11415,PROMENADE,RD,PROMENADE RD,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8208,BAY,ST,BAY ST,,,2,CON,1995-01-01,CI,COMP,7
8101,8117,8100,8116,BAY,ST,BAY ST,,,2,CON,1995-01-01,CI,COMP,7
11112,11208,11113,11209,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
0,0,11217,11217,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11300,11308,11301,11309,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11312,11318,11313,11317,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11400,11404,11401,11405,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11408,11418,11409,11417,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
0,0,11501,11501,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11218,11218,11213,11217,OCEAN,RD,OCEAN RD,,,2,CON,1995-01-01,CI,COMP,7
11302,11318,11301,11317,OCEAN,RD,OCEAN RD,,,2,CON,1995-01-01,CI,COMP,7
11402,11418,11401,11415,OCEAN,RD,OCEAN RD,,,2,CON,1995-01-01,CI,COMP,7
11500,11510,11501,11509,OCEAN,RD,OCEAN RD,,,2,CON,1995-01-01,CI,COMP,7
11602,11618,11603,11619,PORT,RD,PORT RD,,,2,CON,1995-01-01,CI,COMP,7
11600,11648,11601,11649,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
11650,11712,11651,11713,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
8017,8117,8016,8116,STERN,ST,STERN ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8213,8200,8208,STERN,ST,STERN ST,,,2,CON,1995-01-01,CI,COMP,7
8017,8017,8016,8016,SHIP,ST,SHIP ST,,,2,CON,1995-01-01,CI,COMP,7
8101,8117,8100,8116,SHIP,ST,SHIP ST,,,2,CON,1995-01-01,CI,COMP,7
8201,8209,8200,8208,SHIP,ST,SHIP ST,,,2,CON,1995-01-01,CI,COMP,7
8017,8017,0,0,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
8101,8109,8100,8108,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
8113,8117,8112,8116,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
8201,8209,8200,8208,CLIPPER,ST,CLIPPER ST,,,2,CON,1996-01-01,CI,COMP,6
12000,12012,12001,12011,PORT,RD,PORT RD,,,2,CON,1996-01-01,CI,COMP,7
11804,11816,11805,11817,PORT,RD,PORT RD,,,2,CON,1996-01-01,CI,COMP,7
11900,11916,11901,11913,PORT,RD,PORT RD,,,2,CON,1996-01-01,CI,COMP,7
11804,11816,11805,11817,GALLEON,RD,GALLEON RD,,,2,CON,1996-01-01,CI,COMP,7
11900,11912,11901,11917,GALLEON,RD,GALLEON RD,,,2,CON,1996-01-01,CI,COMP,7
8113,8117,8112,8116,REEL,ST,REEL ST,,,2,CON,1996-01-01,CI,COMP,7
8201,8209,8200,8208,REEL,ST,REEL ST,,,2,CON,1996-01-01,CI,COMP,7
12200,12260,12201,12261,CAJUN,DR,CAJUN DR,,,2,CON,2000-01-01,CI,COMP,7
8359,8497,8358,8498,CAIN RIVER,DR,CAIN RIVER DR,,,2,CON,2002-10-28,CI,COMP,7
8509,8537,8508,8536,BISCAYNE,ST,BISCAYNE ST,,,2,CON,2002-10-28,CI,COMP,7
12200,12262,12201,12263,MURRAY,LN,MURRAY LN,,,2,CON,2002-10-28,CI,COMP,7
12286,12334,12309,12333,MURRAY,LN,MURRAY LN,,,2,CON,2002-10-28,CI,COMP,7
12100,12198,12101,12199,PORT,RD,PORT RD,,,2,CON,2000-01-01,CI,COMP,7
8301,8335,8300,8334,BISCAYNE,ST,BISCAYNE ST,,,2,CON,2000-01-01,CI,COMP,7
8201,8205,8200,8204,BISCAYNE,ST,BISCAYNE ST,,,2,CON,2000-01-01,CI,COMP,7
12300,12380,12281,12379,CAJUN,DR,CAJUN DR,,,2,CON,2003-01-01,CI,COMP,7
12402,12452,12401,12475,CAJUN,DR,CAJUN DR,,,2,CON,2003-01-01,CI,COMP,7
8301,8399,8300,8398,DUKE,DR,DUKE DR,,,2,CON,2003-01-01,CI,COMP,7
12500,12598,12501,12599,CAJUN,DR,CAJUN DR,,,2,CON,2003-01-01,CI,COMP,7
12200,12216,12201,12215,ARK,RD,ARK RD,,,2,CON,2000-01-01,CI,COMP,7
12302,12314,12301,12313,ARK,RD,ARK RD,,,2,CON,2000-01-01,CI,COMP,7
12404,12416,12405,12417,ARK,RD,ARK RD,,,2,CON,2000-01-01,CI,COMP,7
12500,12504,12501,12505,ARK,RD,ARK RD,,,2,CON,2000-01-01,CI,COMP,7
8101,8113,8100,8112,LIDO,CT,LIDO CT,,,2,CON,2000-01-01,CI,COMP,7
8101,8399,0,0,COIT,RD,COIT RD,,CR 66,2,CON,2005-01-01,CI,COMP,4
12508,12606,12509,12607,ARK,RD,ARK RD,,,2,CON,2000-01-01,CI,COMP,7
0,0,0,0,ARK,RD,ARK RD,,,2,CON,2003-01-01,CI,COMP,7
8203,8207,8202,8206,SUNDECK,ST,SUNDECK ST,,,2,CON,1996-01-01,CI,COMP,7
8001,8099,8000,8098,SUNDECK,ST,SUNDECK ST,,,2,CON,1996-01-01,CI,COMP,7
8101,8117,8100,8118,SUNDECK,ST,SUNDECK ST,,,2,CON,1996-01-01,CI,COMP,7
12016,12016,12017,12017,RIVIERA,RD,RIVIERA RD,,,2,CON,1998-01-01,CI,COMP,7
12100,12112,12101,12113,RIVIERA,RD,RIVIERA RD,,,2,CON,1998-01-01,CI,COMP,7
12202,12214,12203,12215,RIVIERA,RD,RIVIERA RD,,,2,CON,1998-01-01,CI,COMP,7
12300,12316,12301,12313,RIVIERA,RD,RIVIERA RD,,,2,CON,1998-01-01,CI,COMP,7
8011,8015,8010,8014,STARBOARD,ST,STARBOARD ST,,,2,CON,2001-01-01,CI,COMP,7
8101,8105,8100,8104,STARBOARD,ST,STARBOARD ST,,,2,CON,2001-01-01,CI,COMP,7
7813,7817,7812,7816,BOW,CT,BOW CT,,,2,CON,1995-01-01,CI,COMP,7
7901,7909,7902,7908,BOW,CT,BOW CT,,,2,CON,1995-01-01,CI,COMP,7
11104,11114,11105,11113,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
11200,11216,11201,11217,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
11302,11314,11301,11311,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
11400,11414,11401,11417,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
11500,11520,11501,11519,HARBOR,RD,HARBOR RD,,,2,CON,1997-01-01,CI,COMP,7
7809,7813,7808,7816,ANCHOR,ST,ANCHOR ST,,,2,CON,1997-01-01,CI,COMP,7
7901,7917,7904,7916,ANCHOR,ST,ANCHOR ST,,,2,CON,1997-01-01,CI,COMP,7
7809,7813,7808,7816,GULF,ST,GULF ST,,,2,CON,1997-01-01,CI,COMP,7
7813,7817,7814,7818,INLET,ST,INLET ST,,,2,CON,1997-01-01,CI,COMP,7
7901,7909,7900,7910,INLET,ST,INLET ST,,,2,CON,1997-01-01,CI,COMP,7
7901,7921,7900,7916,GULF,ST,GULF ST,,,2,CON,1997-01-01,CI,COMP,7
8003,8007,8000,8004,GULF,ST,GULF ST,,,2,CON,1997-01-01,CI,COMP,7
7913,7917,7914,7918,INLET,ST,INLET ST,,,2,CON,1997-01-01,CI,COMP,7
8001,8009,8000,8008,INLET,ST,INLET ST,,,2,CON,1997-01-01,CI,COMP,7
11714,11718,11717,11719,BRIDGE,ST,BRIDGE ST,,,2,CON,1997-01-01,CI,COMP,7
11802,11804,11801,11813,BRIDGE,ST,BRIDGE ST,,,2,CON,1997-01-01,CI,COMP,7
7913,7917,7912,7916,RAFT,ST,RAFT ST,,,2,CON,1997-01-01,CI,COMP,7
8001,8005,8000,8004,RAFT,ST,RAFT ST,,,2,CON,1997-01-01,CI,COMP,7
11812,11816,11813,11817,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
11900,11908,11901,11909,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
11910,11916,11911,11917,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
12000,12012,12001,12013,CANOE,RD,CANOE RD,,,2,CON,1996-01-01,CI,COMP,6
7917,7921,7912,7920,ALPINE,CT,ALPINE CT,,,2,CON,2003-01-01,CI,COMP,7
8001,8013,8000,8012,ALPINE,CT,ALPINE CT,,,2,CON,2003-01-01,CI,COMP,7
12016,12016,0,0,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
12100,12112,12101,12115,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
12202,12214,12205,12217,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
12300,12312,12301,12313,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
12400,12410,12403,12411,CANOE,RD,CANOE RD,,,2,CON,1995-01-01,CI,COMP,6
12500,12516,12501,12515,CANOE,RD,CANOE RD,,,2,CON,2001-01-01,CI,COMP,6
12602,12614,12601,12615,CANOE,RD,CANOE RD,,,2,CON,2001-01-01,CI,COMP,6
12100,12198,12101,12199,FOOTHILL,LN,FOOTHILL LN,,,2,CON,2003-01-01,CI,COMP,7
7903,7969,7900,7970,EMILIE,LN,EMILIE LN,,,2,CON,2003-01-01,CI,COMP,7
7703,7863,7702,7864,EMILIE,LN,EMILIE LN,,,2,CON,2003-01-01,CI,COMP,7
7801,7891,7802,7890,MILESTONE RIDGE,DR,MILESTONE RIDGE DR,,,2,CON,2003-01-01,CI,COMP,7
7305,7485,7324,7470,DANBRIDGE,LN,DANBRIDGE LN,,,2,CON,2003-01-01,CI,COMP,7
11208,11376,11209,11275,NEWGATE,DR,NEWGATE DR,,,2,CON,2003-01-01,CI,COMP,7
11428,11476,11429,11495,PEAR RIDGE,DR,PEAR RIDGE DR,,,2,CON,2003-01-01,CI,COMP,7
7305,7377,7304,7376,PALMDALE,DR,PALMDALE DR,,,2,CON,2003-01-01,CI,COMP,7
0,0,0,0,PRESTON,RD,PRESTON RD,,SH 289,3,CON,2001-01-01,TX,COMP,2
0,0,0,0,STONEBROOK,PKWY,STONEBROOK PKWY,,CR 21,2,CON,1984-01-01,CI,COMP,4
0,0,0,0,STONEBROOK,PKWY,STONEBROOK PKWY,,CR 21,2,CON,2002-01-01,CI,COMP,4
0,0,0,0,PRESTON,RD,PRESTON RD,,SH 289,3,CON,2001-01-01,TX,COMP,2
0,0,0,0,JOHN WESLEY,DR,JOHN WESLEY DR,,,2,CON,1987-01-01,CI,COMP,7
0,0,0,0,HICKORY,ST,HICKORY ST,,,2,CON,2000-01-01,CI,COMP,6
0,0,0,0,PRESTON,RD,PRESTON RD,,SH 289,3,CON,2012-01-01,TX,COMP,2
0,0,8551,8699,STONEBROOK,PKWY,STONEBROOK PKWY,,,3,CON,1984-01-01,CI,COMP,4
8700,8712,8701,8713,MORAINE,DR,MORAINE DR,,,2,CON,1995-01-01,CI,COMP,7
0,0,7200,7298,BOULDER,WAY,BOULDER WAY,,,1,CON,1995-01-01,CI,COMP,7
0,0,0,0,BOULDER,WAY,BOULDER WAY,,,1,CON,1995-01-01,CI,COMP,7
0,0,0,0,STONEBROOK,PKWY,STONEBROOK PKWY,,,3,CON,1984-01-01,CI,COMP,4
0,0,0,0,STONEBROOK,PKWY,STONEBROOK PKWY,,,3,CON,1984-01-01,CI,COMP,4
7201,7299,0,0,BOULDER,WAY,BOULDER WAY,,,1,CON,1995-01-01,CI,COMP,7
0,0,0,0,BOULDER,WAY,BOULDER WAY,,,1,CON,1995-01-01,CI,COMP,7
0,0,0,0,JOHN WESLEY,DR,JOHN WESLEY DR,,,2,CON,1984-01-01,CI,COMP,7
8500,8598,8501,8599,JOHN WESLEY,DR,JOHN WESLEY DR,,,2,CON,1987-01-01,CI,COMP,7
7209,7213,7208,7212,STONERIDGE,DR,STONERIDGE DR,,,2,CON,1995-01-01,CI,COMP,7
